member of the crew of, <subject> is a member of the crew of <object>., Question: <subject> is a member of the crew of what? Answer: <object>., <object>
occupation, <subject>'s occupation is <object>., Question: What is the occupation of <subject>? Answer: <object>., <object>
educated at, <subject> was educated at <object>., Question: Where was <subject> educated? Answer: <object>., <object>
cause of death, <subject>'s cause of death was <object>., Question: What was the cause of death of <subject>? Answer: <object>., <object>
member of political party, <subject> is a member of the political party <object>., Question: Which political party is <subject> a member of? Answer: <object>., <object>
place of birth, <subject>'s place of birth is <object>., Question: Where is the place of birth of <subject>? Answer: <object>., <object>
home venue, <subject>'s home venue is <object>., Question: What is the home venue of <subject>? Answer: <object>., <object>
applies to jurisdiction, <object> applies to the jurisdiction of <subject>., Question: To which jurisdiction does <object> apply? Answer: <subject>., <subject>
narrative location, <subject> is set in the narrative location of <object>., Question: What is the narrative location of <subject>? Answer: <object>., <object>
employer, <subject> is employed by <object>., Question: Who is the employer of <subject>? Answer: <object>., <object>
director, <subject> is the director of <object>., Question: Who is the director of <object>? Answer: <subject>., <subject>
sports discipline competed in, <subject> competes in the sports discipline of <object>., Question: In which sports discipline does <subject> compete? Answer: <object>., <object>
platform, <subject> is available on the platform <object>., Question: On which platform is <subject> available? Answer: <object>., <object>
published in, <subject> was published in <object>., Question: Where was <subject> published? Answer: <object>., <object>
product or material produced, <subject> produces <object> as a product or material., Question: What product or material does <subject> produce? Answer: <object>., <object>
character type, <subject> is characterized as a <object> type., Question: What type of character is <subject> characterized as? Answer: <object>., <object>
parliamentary group, <subject> is a member of the parliamentary group <object>., Question: Which parliamentary group is <subject> a member of? Answer: <object>., <object>
work location, <subject>'s work location is <object>., Question: What is the work location of <subject>? Answer: <object>., <object>
student of, <subject> is a student of <object>., Question: Who is <subject> a student of? Answer: <object>., <object>
used by, <object> is used by <subject>., Question: Who uses <object>? Answer: <subject>., <subject>
head of government, <subject> is the head of government of <object>., Question: Who is the head of government of <object>? Answer: <subject>., <subject>
use, <subject> is used for <object>., Question: What is <subject> used for? Answer: <object>., <object>
academic major, <subject>'s academic major is <object>., Question: What is <subject>'s academic major?Answer: <object>., <object>
affiliation, <subject> is affiliated with <object>., Question: What is <subject> affiliated with? Answer: <object>., <object>
victory, <subject> achieved a victory in <object>., Question: In which <object> did <subject> achieve a victory? Answer: <object>., <object>
conflict, <subject> was involved in the conflict <object>., Question: In which conflict was <subject> involved? Answer: <object>., <object>
parent organization, <subject> is a part of the parent organization <object>., Question: What parent organization is <subject> a part of? Answer: <object>., <object>
uses, <subject> uses <object>., Question: What does <subject> use? Answer: <object>., <object>
student, <subject> is a student at <object>., Question: At which institution is <subject> a student? Answer: <object>., <object>
place of burial, <subject>'s place of burial is <object>., Question: Where is <subject> buried? Answer: <object>., <object>
place of marriage, <subject> was married at <object>., Question: Where was <subject> married? Answer: <object>., <object>
head coach, <subject> is the head coach of <object>., Question: Who is the head coach of <object>? Answer: <subject>., <subject>
operating area, <subject>'s operating area is <object>., Question: What is the operating area of <subject>? Answer: <object>., <object>
present in work, <subject> is present in the work <object>., Question: In which work is <subject> present? Answer: <object>., <object>
interested in, <subject> is interested in <object>., Question: What is <subject> interested in? Answer: <object>., <object>
conferred by, <object> is conferred by <subject>., Question: Who conferred <object>? Answer: <subject>., <subject>
musical conductor, <subject> is the musical conductor of <object>., Question: Who is the musical conductor of <object>? Answer: <subject>., <subject>
elected in, <subject> was elected in <object>., Question: In what was <subject> elected? Answer: <object>., <object>
parliamentary term, <subject> served during the parliamentary term <object>., Question: During which parliamentary term did <subject> serve? Answer: <object>., <object>
convicted of, <subject> was convicted of <object>., Question: What was <subject> convicted of? Answer: <object>., <object>
for work, <subject> is used for the work <object>., Question: What is <subject> used for in terms of work? Answer: <object>., <object>
manner of death, <subject>'s manner of death was <object>., Question: What was the manner of death of <subject>? Answer: <object>., <object>
place of detention, <subject> was detained at <object>., Question: Where was <subject> detained? Answer: <object>., <object>
successful candidate, <subject> was the successful candidate in <object>., Question: In which election or selection was <subject> the successful candidate? Answer: <object>., <object>
stage reached, <subject> reached the stage <object>., Question: What stage did <subject> reach? Answer: <object>., <object>
has written for, <subject> has written for <object>., Question: For whom or what has <subject> written? Answer: <object>., <object>
